X,Y,Z,Z_Dither,Mean_Int_Ch1,Mean_Int_Ch2,Mean_Int_Ch3,Mean_Int_Ch4,Hemisphere,Region_ID,Segment
233.0472,149.6861,74.9057,74.7327,1318.5372,638.5798,0,412.5426,Left,59,C4
103.3668,152.7814,67.401,66.8046,1013.7941,625.1912,0,371.7647,Right,18,C4
233.1466,149.6434,75.8555,75.6651,1318.5372,638.5798,0,412.5426,Left,59,C4
103.2674,152.7744,68.3424,67.8951,1013.7941,625.1912,0,371.7647,Right,18,C4
180.3975,77.4793,81.4213,81.9274,1135.5352,636.3521,0,301.9155,Left,62,C4
180.407,77.5755,82.3823,82.2675,1135.5352,636.3521,0,301.9155,Left,62,C4
100.0672,165.94,71.1808,71.5256,1528.0896,599.5522,0,372.806,Right,48,C4
224.1411,149.3884,80.1604,79.5419,1061.0638,658.5745,0,724.5319,Left,18,C4
89.7908,157.8788,76.8698,76.289,876.4881,551.5476,0,249.0952,Right,18,C4
90.1789,157.3835,89.6297,89.8424,1491.5412,671.2732,0,300.8918,Right,18,C5
238.6529,118.6951,101.4003,101.2576,765.2308,649.1282,0,315.3846,Left,18,C5
88.1847,167.8721,91.726,91.6962,2386.482,788.0791,0,298.6619,Right,18,C5
83.6863,164.4194,99.7343,99.1127,1546.1818,664.3818,0,869.5636,Right,18,C5
83.7338,164.3238,100.7473,100.4272,1546.1818,664.3818,0,869.5636,Right,18,C5
83.7844,164.2296,101.7607,101.9951,1546.1818,664.3818,0,869.5636,Right,18,C5
83.8379,164.1378,102.7743,102.8471,1546.1818,664.3818,0,869.5636,Right,18,C5
83.8941,164.0493,103.7877,103.5349,1546.1818,664.3818,0,869.5636,Right,18,C5
83.9528,163.9651,104.8006,105.308,1546.1818,664.3818,0,869.5636,Right,18,C5
254.5058,130.6553,116.8463,116.2802,1652.1,641.9333,0,582.4667,Left,30,C5
233.0028,152.6815,114.0019,114.617,1203.6,602.6538,0,389.6692,Left,53,C5
242.7046,132.5039,117.0113,116.7827,1650.6857,591.6571,0,603.3143,Left,18,C5
245.8486,155.5837,115.4294,114.8371,1493.4621,687.5828,0,285.5931,Left,34,C5
232.7495,153.8196,114.8801,115.2302,1352.2557,634.3182,0,257.8693,Left,53,C5
245.2658,162.5375,114.8951,115.1676,1261.3013,667.3138,0,285.1004,Left,34,C5
87.492,161.7839,107.1788,107.2572,1294.4375,605.7991,0,282.9598,Right,18,C5
231.2045,151.3592,115.9518,116.5593,1368.2234,636.7872,0,771.8085,Left,53,C5
246.9578,165.1915,115.7603,116.0552,1396.9512,603.8943,0,302.4715,Left,34,C5
76.3905,150.0163,108.6966,108.5438,1392.5833,590.75,0,598.1111,Right,34,C5
89.7663,160.7913,108.3923,108.9004,1367.6552,557,0,215.6552,Right,18,C5
86.6913,160.4264,108.2524,108.819,1315.6471,554.2941,0,236.7647,Right,18,C5
231.2547,151.3925,116.924,116.4538,1368.2234,636.7872,0,771.8085,Left,53,C5
246.9737,165.2214,116.7275,116.9768,1396.9512,603.8943,0,302.4715,Left,34,C5
76.4343,149.9392,109.7083,109.9219,1392.5833,590.75,0,598.1111,Right,34,C5
89.8232,160.7504,109.4029,109.227,1367.6552,557,0,215.6552,Right,18,C5
86.7506,160.3721,109.2624,109.5626,1315.6471,554.2941,0,236.7647,Right,18,C5
231.3031,151.4281,117.8956,117.3906,1368.2234,636.7872,0,771.8085,Left,53,C5
246.9898,165.2569,117.6939,117.2428,1396.9512,603.8943,0,302.4715,Left,34,C5
76.4802,149.8669,110.7187,110.7159,1392.5833,590.75,0,598.1111,Right,34,C5
89.8813,160.7143,110.4123,110.2091,1367.6552,557,0,215.6552,Right,18,C5
86.8111,160.3227,110.2712,110.5287,1315.6471,554.2941,0,236.7647,Right,18,C5
231.3499,151.4657,118.8667,119.0521,1368.2234,636.7872,0,771.8085,Left,53,C5
247.006,165.2978,118.6594,118.8267,1396.9512,603.8943,0,302.4715,Left,34,C5
76.5281,149.7996,111.7276,111.8601,1392.5833,590.75,0,598.1111,Right,34,C5
89.9402,160.6829,111.4206,111.303,1367.6552,557,0,215.6552,Right,18,C5
86.8723,160.2784,111.2787,111.3948,1315.6471,554.2941,0,236.7647,Right,18,C5
231.4386,151.5473,120.8072,121.2989,1368.2234,636.7872,0,771.8085,Left,53,C5
247.0385,165.3941,120.5874,120.1189,1396.9512,603.8943,0,302.4715,Left,34,C5
76.6298,149.6811,113.7413,113.1537,1392.5833,590.75,0,598.1111,Right,34,C5
90.0585,160.6334,113.4331,113.4529,1367.6552,557,0,215.6552,Right,18,C5
86.9949,160.2042,113.2891,113.9004,1315.6471,554.2941,0,236.7647,Right,18,C5
231.4807,151.5909,121.7764,122.0099,1368.2234,636.7872,0,771.8085,Left,53,C5
247.0548,165.449,121.5496,121.1117,1396.9512,603.8943,0,302.4715,Left,34,C5
76.6834,149.6304,114.746,115.3121,1392.5833,590.75,0,598.1111,Right,34,C5
90.117,160.6149,114.4372,114.4765,1367.6552,557,0,215.6552,Right,18,C5
87.0555,160.1743,114.292,114.4074,1315.6471,554.2941,0,236.7647,Right,18,C5
243.2893,157.8696,122.8882,122.621,1285.4167,625.0556,0,288.8333,Left,34,C5
70.6037,146.7597,115.7905,116.2382,1556.0842,596.3263,0,597.1368,Right,34,C5
73.1084,143.5711,117.2004,116.9158,1104.9389,572.0992,0,406.1985,Right,18,C5
75.7619,127.4219,119.874,120.3542,1297.5459,691.1514,0,401.4037,Right,30,C5
75.8009,127.4081,120.8648,120.6797,1297.5459,691.1514,0,401.4037,Right,30,C5
184.0577,100.4299,128.4301,128.1048,1860.6905,661.8214,0,432.4762,Left,9,C5
90.9534,137.6962,121.4171,120.956,855.1579,568.5263,0,558.0526,Right,18,C5
69.1944,140.9166,120.3248,120.9249,887.5263,472.4211,0,312.9474,Right,30,C5
82.8788,153.5821,119.6134,119.5569,1176.8194,598.7778,0,519.7917,Right,34,C5
252.0231,122.9123,130.9844,130.4938,926.4,567.5,0,392.55,Left,30,C5
246.4218,155.0907,128.0937,127.806,924.7966,589.4068,0,271.572,Left,34,C5
68.2649,139.7155,121.4127,121.8537,1334.4064,644.6578,0,420.5775,Right,30,C5
252.048,122.9371,131.9491,132.4944,926.4,567.5,0,392.55,Left,30,C5
246.4396,155.1581,129.051,129.6151,924.7966,589.4068,0,271.572,Left,34,C5
68.3068,139.6956,122.4089,122.7769,1334.4064,644.6578,0,420.5775,Right,30,C5
252.0704,122.9609,132.9133,133.1874,926.4,567.5,0,392.55,Left,65,C6
